0.000000,0.000000,0.000000
7177.710994,7177.710994,7177.710994
-32066.194393,-32066.194393,-32066.194393
109073.319409,109073.319409,109073.319409
187522.067079,187522.067079,187522.067079
37314.788369,37314.788369,37314.788369
551248.720253,551248.720253,551248.720253
443687.176996,443687.176996,443687.176996
66285.468502,66285.468502,66285.468502
489798.700313,489798.700313,489798.700313
673881.722693,673881.722693,673881.722693
414414.473226,414414.473226,414414.473226
76709.624408,76709.624408,76709.624408
10448.639259,10448.639259,10448.639259
98395.833888,98395.833888,98395.833888
-307274.675148,-307274.675148,-307274.675148
-571066.728333,-571066.728333,-571066.728333
-304884.526536,-304884.526536,-304884.526536
-301562.809662,-301562.809662,-301562.809662
-288814.923613,-288814.923613,-288814.923613
-641753.323388,-641753.323388,-641753.323388
-440966.351036,-440966.351036,-440966.351036
7627.122503,7627.122503,7627.122503
-40081.556410,-40081.556410,-40081.556410
-147155.275377,-147155.275377,-147155.275377
-121336.360273,-121336.360273,-121336.360273
29641.144215,29641.144215,29641.144215
-764.412118,-764.412118,-764.412118
-29938.161849,-29938.161849,-29938.161849
108503.128990,108503.128990,108503.128990
187674.845342,187674.845342,187674.845342
37273.852575,37273.852575,37273.852575
551259.688693,551259.688693,551259.688693
443684.238085,443684.238085,443684.238085
66286.255961,66286.255961,66286.255961
489798.489319,489798.489319,489798.489319
673881.779227,673881.779227,673881.779227
414414.458078,414414.458078,414414.458078
76709.628467,76709.628467,76709.628467
10448.638172,10448.638172,10448.638172
98395.834180,98395.834180,98395.834180
-307274.675226,-307274.675226,-307274.675226
-571066.728313,-571066.728313,-571066.728313
-304884.526542,-304884.526542,-304884.526542
-301562.809660,-301562.809660,-301562.809660
-288814.923613,-288814.923613,-288814.923613
-641753.323388,-641753.323388,-641753.323388
-440966.351036,-440966.351036,-440966.351036
7627.122503,7627.122503,7627.122503
-40081.556410,-40081.556410,-40081.556410
-147155.275377,-147155.275377,-147155.275377
-121336.360273,-121336.360273,-121336.360273
32511.171101,32511.171101,32511.171101
-8711.125371,-8711.125371,-8711.125371
2334.080953,2334.080953,2334.080953
-3495.426437,-3495.426437,-3495.426437
8114.284389,8114.284389,8114.284389
-32317.142236,-32317.142236,-32317.142236
109140.559008,109140.559008,109140.559008
187504.050731,187504.050731,187504.050731
37319.615715,37319.615715,37319.615715
551247.426801,551247.426801,551247.426801
443687.523567,443687.523567,443687.523567
66285.375641,66285.375641,66285.375641
489798.725194,489798.725194,489798.725194
673881.716026,673881.716026,673881.716026
414414.475012,414414.475012,414414.475012
76709.623930,76709.623930,76709.623930
10448.639387,10448.639387,10448.639387
98395.833854,98395.833854,98395.833854
-307274.675138,-307274.675138,-307274.675138
-571066.728336,-571066.728336,-571066.728336
-304884.526535,-304884.526535,-304884.526535
-301562.809662,-301562.809662,-301562.809662
-288814.923613,-288814.923613,-288814.923613
-641753.323388,-641753.323388,-641753.323388
-440966.351036,-440966.351036,-440966.351036
7627.122503,7627.122503,7627.122503
-40081.556410,-40081.556410,-40081.556410
-147155.275377,-147155.275377,-147155.275377
-121336.360273,-121336.360273,-121336.360273
29641.144215,29641.144215,29641.144215
-764.412118,-764.412118,-764.412118
-29938.161849,-29938.161849,-29938.161849
108503.128990,108503.128990,108503.128990
187674.845342,187674.845342,187674.845342
37273.852575,37273.852575,37273.852575
551259.688693,551259.688693,551259.688693
443684.238085,443684.238085,443684.238085
66286.255961,66286.255961,66286.255961
489798.489319,489798.489319,489798.489319
673881.779227,673881.779227,673881.779227
414414.458078,414414.458078,414414.458078
76709.628467,76709.628467,76709.628467
10448.638172,10448.638172,10448.638172
98395.834180,98395.834180,98395.834180
-307274.675226,-307274.675226,-307274.675226
-571066.728313,-571066.728313,-571066.728313
-304884.526542,-304884.526542,-304884.526542
-301562.809660,-301562.809660,-301562.809660
-288814.923613,-288814.923613,-288814.923613
-641753.323388,-641753.323388,-641753.323388
-440966.351036,-440966.351036,-440966.351036
7627.122503,7627.122503,7627.122503
-40081.556410,-40081.556410,-40081.556410
-147155.275377,-147155.275377,-147155.275377
-121297.670628,-121297.670628,-121297.670628
32346.045501,32346.045501,32346.045501
-8086.511375,-8086.511375,-8086.511375
0.000000,0.000000,0.000000
